clean_accuracy,adversarial_accuracy,adversarial_error_rate,robust_accuracy,CE_gaussian_noise,CE_shot_noise,CE_impulse_noise,CE_defocus_blur,CE_glass_blur,CE_motion_blur,CE_zoom_blur,CE_snow,CE_frost,CE_fog,CE_brightness,CE_contrast,CE_elastic_transform,CE_pixelate,CE_jpeg_compression,mCE,mean_corruption_accuracy,mAA,robustness_gap,relative_robustness,std_adversarial,model_arch,bottleneck_width,beta,is_baseline,failed
0.8493,0.115,0.885,0.115,2.7955109903175157,2.4258635817207246,2.634818554266155,1.6532036332494375,2.5194347702720603,1.9759465550493878,1.8421222944266025,2.0116621050384462,1.9675216887560638,1.801203315350166,1.3132775643513221,2.596632840059535,1.541604516928104,1.5706848852901483,1.3423383062038952,1.9994550400853042,0.6735946666666667,0.115,0.7343000000000001,0.13540562816437066,0.0,vgg11,64,0.0,True,False
0.1,0.103,0.897,0.103,5.724373381303884,6.0471709757424055,5.892260424148483,6.184660458833614,5.279120162787725,5.84984163867931,5.654968112477648,6.492027029999927,6.087610446985448,6.391377561179115,6.560091288497908,6.137864275805019,5.725424275611475,6.78718430692115,6.246766977588317,6.070716087770761,0.09999999999999998,0.103,-0.002999999999999989,1.0299999999999998,0.0,vgg11,64,1.0,False,True
0.8475,0.11,0.89,0.11,2.7759448861850125,2.384505880220166,2.6549805081950417,1.6410097407392161,2.482761490703181,1.9606676565127679,1.8058580081475128,1.9429954098539644,1.883408209892585,1.7866950642684896,1.3029855003051125,2.6218991022303273,1.5153301383547417,1.5194278725660304,1.3456226761772117,1.9749394762900905,0.6771946666666667,0.11,0.7375,0.12979351032448377,0.0,vgg11,64,0.0001,False,False
0.8519,0.117,0.883,0.117,2.790276935876453,2.431055938913082,2.7145906054096662,1.5796102146975723,2.4942830366372473,1.9152285848411974,1.7613668228349328,1.8981465487740192,1.879100387647263,1.7698009822791534,1.2770243431185717,2.6404227199916677,1.4851564973526108,1.4542554382751751,1.3300897208270615,1.9613605851650453,0.6787946666666668,0.117,0.7349,0.13734006338772156,0.0,vgg11,64,1e-05,False,False
0.8473,0.111,0.889,0.111,2.900141881099915,2.5157909831481255,2.6345075755541303,1.6392289641301432,2.6132091357092766,1.995372249378456,1.8517838723191367,2.0130468346040056,2.0045185810810815,1.8037190207549139,1.2969974047407122,2.718341091032003,1.5152680857767327,1.5553710397789344,1.347644251701159,2.026996064720582,0.6685146666666667,0.111,0.7363000000000001,0.13100436681222707,0.0,vgg11,64,1e-06,False,False
0.8573,0.117,0.883,0.117,2.744579314305944,2.3781162974734404,2.5896819252778243,1.6088099266704756,2.4802196712542655,1.9254068781709084,1.7978237598536553,1.9546450849953108,1.9327031574844078,1.7749409943522114,1.2654849292711297,2.669250615887663,1.5163121778019264,1.506969849838271,1.3458648466260548,1.9660539619508988,0.6786306666666666,0.117,0.7403,0.13647497958707572,0.0,vgg11,64,1e-07,False,False
0.1,0.102,0.898,0.102,5.724373381303884,6.0471709757424055,5.892260424148483,6.184660458833614,5.279120162787725,5.84984163867931,5.654968112477648,6.492027029999927,6.087610446985448,6.391377561179115,6.560091288497908,6.137864275805019,5.725424275611475,6.78718430692115,6.246766977588317,6.070716087770761,0.09999999999999998,0.102,-0.001999999999999988,1.0199999999999998,0.0,vgg11,64,0.1,False,True
0.1,0.102,0.898,0.102,5.724373381303884,6.0471709757424055,5.892260424148483,6.184660458833614,5.279120162787725,5.84984163867931,5.654968112477648,6.492027029999927,6.087610446985448,6.391377561179115,6.560091288497908,6.137864275805019,5.725424275611475,6.78718430692115,6.246766977588317,6.070716087770761,0.09999999999999998,0.102,-0.001999999999999988,1.0199999999999998,0.0,vgg11,64,0.01,False,True
0.1,0.103,0.897,0.103,5.724373381303884,6.0471709757424055,5.892260424148483,6.184660458833614,5.279120162787725,5.84984163867931,5.654968112477648,6.492027029999927,6.087610446985448,6.391377561179115,6.560091288497908,6.137864275805019,5.725424275611475,6.78718430692115,6.246766977588317,6.070716087770761,0.09999999999999998,0.103,-0.002999999999999989,1.0299999999999998,0.0,vgg11,64,10.0,False,True
0.1,0.102,0.898,0.102,5.724373381303884,6.0471709757424055,5.892260424148483,6.184660458833614,5.279120162787725,5.84984163867931,5.654968112477648,6.492027029999927,6.087610446985448,6.391377561179115,6.560091288497908,6.137864275805019,5.725424275611475,6.78718430692115,6.246766977588317,6.070716087770761,0.09999999999999998,0.102,-0.001999999999999988,1.0199999999999998,0.0,vgg11,64,100.0,False,True
